status,topic_slug,topic,study,csv_row_numbers,output
completed,Diagnosis0_1,Diagnosis of mental disorders at 0-1 months,Rotheram-Borus 2014a,59;249,data/human_review_structured/Diagnosis0_1/Rotheram-Borus 2014a/Rotheram-Borus 2014a.json
completed,Diagnosis1_6,Diagnosis of mental disorders at 1-6 months,Rotheram-Borus 2014a,63,data/human_review_structured/Diagnosis1_6/Rotheram-Borus 2014a/Rotheram-Borus 2014a.json
completed,Diagnosis7_24,Diagnosis of mental disorders at 7-24 months,Rotheram-Borus 2014a,67,data/human_review_structured/Diagnosis7_24/Rotheram-Borus 2014a/Rotheram-Borus 2014a.json
completed,Diagnosis1_6,Diagnosis of mental disorders at 1-6 months,Rotheram-Borus 2014b,64,data/human_review_structured/Diagnosis1_6/Rotheram-Borus 2014b/Rotheram-Borus 2014b.json
completed,Depressive0_1,Depressive symptoms at 0-1 months,Sanfilippo 2020,33,data/human_review_structured/Depressive0_1/Sanfilippo 2020/Sanfilippo 2020.json
completed,Depressive1_6,Depressive symptoms at 1-6 months,Sanfilippo 2020,36,data/human_review_structured/Depressive1_6/Sanfilippo 2020/Sanfilippo 2020.json
completed,PTSD0_1,Distress/PTSD symptoms at 0-1 months,Sanfilippo 2020,44,data/human_review_structured/PTSD0_1/Sanfilippo 2020/Sanfilippo 2020.json
completed,PTSD1_6,Distress/PTSD symptoms at 1-6 months,Sanfilippo 2020,48,data/human_review_structured/PTSD1_6/Sanfilippo 2020/Sanfilippo 2020.json
completed,Depressive0_1,Depressive symptoms at 0-1 months,Sangraula 2020,104;258;276;314,data/human_review_structured/Depressive0_1/Sangraula 2020/Sangraula 2020.json
completed,PTSD0_1,Distress/PTSD symptoms at 0-1 months,Sangraula 2020,154;260;301;354,data/human_review_structured/PTSD0_1/Sangraula 2020/Sangraula 2020.json
completed,Psycho0_1,Psychological functioning and impairment at 0-1 months,Sangraula 2020,85;256,data/human_review_structured/Psycho0_1/Sangraula 2020/Sangraula 2020.json
completed,Depressive7_24,Depressive symptoms at 7-24 months,Sherman 2009,123,data/human_review_structured/Depressive7_24/Sherman 2009/Sherman 2009.json
completed,Depressive1_6,Depressive symptoms at 1-6 months,Shinde 2018,229,data/human_review_structured/Depressive1_6/Shinde 2018/Shinde 2018.json
completed,Depressive7_24,Depressive symptoms at 7-24 months,Shinde 2018,233,data/human_review_structured/Depressive7_24/Shinde 2018/Shinde 2018.json
completed,Depressive1_6,Depressive symptoms at 1-6 months,Singla 2015,116;283;331,data/human_review_structured/Depressive1_6/Singla 2015/Singla 2015.json
completed,Diagnosis1_6,Diagnosis of mental disorders at 1-6 months,Skar 2021,65,data/human_review_structured/Diagnosis1_6/Skar 2021/Skar 2021.json
completed,Depressive0_1,Depressive symptoms at 0-1 months,Song 2019,105;266;315,data/human_review_structured/Depressive0_1/Song 2019/Song 2019.json
completed,QOL0_1,Quality of life at 0-1 months,Song 2019,75,data/human_review_structured/QOL0_1/Song 2019/Song 2019.json
completed,Anxiety1_6,Anxiety symptoms at 1-6 months,Srisuwan 2020,134,data/human_review_structured/Anxiety1_6/Srisuwan 2020/Srisuwan 2020.json
completed,Anxiety7_24,Anxiety symptoms at 7-24 months,Srisuwan 2020,136,data/human_review_structured/Anxiety7_24/Srisuwan 2020/Srisuwan 2020.json
completed,Depressive1_6,Depressive symptoms at 1-6 months,Srisuwan 2020,117;288;332,data/human_review_structured/Depressive1_6/Srisuwan 2020/Srisuwan 2020.json
completed,Depressive7_24,Depressive symptoms at 7-24 months,Srisuwan 2020,124,data/human_review_structured/Depressive7_24/Srisuwan 2020/Srisuwan 2020.json
completed,Depressive1_6,Depressive symptoms at 1-6 months,Thurman 2017,230,data/human_review_structured/Depressive1_6/Thurman 2017/Thurman 2017.json
completed,Psycho1_6,Psychological functioning and impairment at 1-6 months,Thurman 2017,221,data/human_review_structured/Psycho1_6/Thurman 2017/Thurman 2017.json
completed,Social1_6,Social outcomes at 1-6 months,Thurman 2017,247,data/human_review_structured/Social1_6/Thurman 2017/Thurman 2017.json
completed,Anxiety0_1,Anxiety symptoms at 0-1 months,Tobias da Silva 2017,208,data/human_review_structured/Anxiety0_1/Tobias da Silva 2017/Tobias da Silva 2017.json
completed,Anxiety0_1,Anxiety symptoms at 0-1 months,Tol 2012,236,data/human_review_structured/Anxiety0_1/Tol 2012/Tol 2012.json
completed,Anxiety1_6,Anxiety symptoms at 1-6 months,Tol 2012,239,data/human_review_structured/Anxiety1_6/Tol 2012/Tol 2012.json
completed,Depressive0_1,Depressive symptoms at 0-1 months,Tol 2012,225,data/human_review_structured/Depressive0_1/Tol 2012/Tol 2012.json
completed,Depressive1_6,Depressive symptoms at 1-6 months,Tol 2012,231,data/human_review_structured/Depressive1_6/Tol 2012/Tol 2012.json
completed,PTSD0_1,Distress/PTSD symptoms at 0-1 months,Tol 2012,241,data/human_review_structured/PTSD0_1/Tol 2012/Tol 2012.json
completed,PTSD1_6,Distress/PTSD symptoms at 1-6 months,Tol 2012,243,data/human_review_structured/PTSD1_6/Tol 2012/Tol 2012.json
completed,Psycho0_1,Psychological functioning and impairment at 0-1 months,Tol 2012,219,data/human_review_structured/Psycho0_1/Tol 2012/Tol 2012.json
completed,Psycho1_6,Psychological functioning and impairment at 1-6 months,Tol 2012,222,data/human_review_structured/Psycho1_6/Tol 2012/Tol 2012.json
completed,Diagnosis7_24,Diagnosis of mental disorders at 7-24 months,Tripathy 2010,21,data/human_review_structured/Diagnosis7_24/Tripathy 2010/Tripathy 2010.json
completed,Social0_1,Social outcomes at 0-1 months,Vargas-Porras 2021,53,data/human_review_structured/Social0_1/Vargas-Porras 2021/Vargas-Porras 2021.json
completed,Anxiety1_6,Anxiety symptoms at 1-6 months,Velásquez 2015,189,data/human_review_structured/Anxiety1_6/Velásquez 2015/Velásquez 2015.json
completed,Depressive1_6,Depressive symptoms at 1-6 months,Velásquez 2015,187,data/human_review_structured/Depressive1_6/Velásquez 2015/Velásquez 2015.json
completed,Social1_6,Social outcomes at 1-6 months,Velásquez 2015,198,data/human_review_structured/Social1_6/Velásquez 2015/Velásquez 2015.json
completed,Depressive0_1,Depressive symptoms at 0-1 months,Ward 2020,106;277;316,data/human_review_structured/Depressive0_1/Ward 2020/Ward 2020.json
completed,Depressive7_24,Depressive symptoms at 7-24 months,Ward 2020,125,data/human_review_structured/Depressive7_24/Ward 2020/Ward 2020.json
completed,PTSD0_1,Distress/PTSD symptoms at 0-1 months,Ward 2020,155;302;355,data/human_review_structured/PTSD0_1/Ward 2020/Ward 2020.json
completed,PTSD7_24,Distress/PTSD symptoms at 7-24 months,Ward 2020,170,data/human_review_structured/PTSD7_24/Ward 2020/Ward 2020.json
completed,Social0_1,Social outcomes at 0-1 months,Ward 2020,175,data/human_review_structured/Social0_1/Ward 2020/Ward 2020.json
completed,Social7_24,Social outcomes at 7-24 months,Ward 2020,176,data/human_review_structured/Social7_24/Ward 2020/Ward 2020.json
completed,Anxiety1_6,Anxiety symptoms at 1-6 months,Xu 2021,135,data/human_review_structured/Anxiety1_6/Xu 2021/Xu 2021.json
completed,Anxiety7_24,Anxiety symptoms at 7-24 months,Xu 2021,137,data/human_review_structured/Anxiety7_24/Xu 2021/Xu 2021.json
completed,Depressive1_6,Depressive symptoms at 1-6 months,Xu 2021,118;289;336,data/human_review_structured/Depressive1_6/Xu 2021/Xu 2021.json
completed,Depressive7_24,Depressive symptoms at 7-24 months,Xu 2021,126,data/human_review_structured/Depressive7_24/Xu 2021/Xu 2021.json
completed,PTSD1_6,Distress/PTSD symptoms at 1-6 months,Yang 2022,49,data/human_review_structured/PTSD1_6/Yang 2022/Yang 2022.json
completed,QOL1_6,Quality of life at 1-6 months,Yang 2022,29;254,data/human_review_structured/QOL1_6/Yang 2022/Yang 2022.json
completed,Social1_6,Social outcomes at 1-6 months,Yang 2022,55,data/human_review_structured/Social1_6/Yang 2022/Yang 2022.json
completed,Depressive0_1,Depressive symptoms at 0-1 months,Yeomans 2010,107;278;317,data/human_review_structured/Depressive0_1/Yeomans 2010/Yeomans 2010.json
completed,PTSD0_1,Distress/PTSD symptoms at 0-1 months,Yeomans 2010,156;303;338,data/human_review_structured/PTSD0_1/Yeomans 2010/Yeomans 2010.json
completed,Depressive0_1,Depressive symptoms at 0-1 months,Yu 2002,226,data/human_review_structured/Depressive0_1/Yu 2002/Yu 2002.json
completed,Depressive1_6,Depressive symptoms at 1-6 months,Yu 2002,232,data/human_review_structured/Depressive1_6/Yu 2002/Yu 2002.json
completed,Diagnosis0_1,Diagnosis of mental disorders at 0-1 months,Yu 2002,214,data/human_review_structured/Diagnosis0_1/Yu 2002/Yu 2002.json
completed,Diagnosis1_6,Diagnosis of mental disorders at 1-6 months,Yu 2002,215,data/human_review_structured/Diagnosis1_6/Yu 2002/Yu 2002.json
completed,Depressive0_1,Depressive symptoms at 0-1 months,Yusoff 2015,11,data/human_review_structured/Depressive0_1/Yusoff 2015/Yusoff 2015.json
completed,Depressive1_6,Depressive symptoms at 1-6 months,Yusoff 2015,12,data/human_review_structured/Depressive1_6/Yusoff 2015/Yusoff 2015.json
completed,Depressive7_24,Depressive symptoms at 7-24 months,Yusoff 2015,14,data/human_review_structured/Depressive7_24/Yusoff 2015/Yusoff 2015.json
completed,QOL7_24,Quality of life at 7-24 months,Zhou 2010,8,data/human_review_structured/QOL7_24/Zhou 2010/Zhou 2010.json
